#ICAO,IATA,Full_name,Continent,Location,Longitude,Latitude
"00A","","Total Rf Heliport","NA","Bensalem","-74.9336013793945","40.07080078125"
"00AA","","Aero B Ranch Airport","NA","Leoti","-101.47391","38.704022"
"00AK","","Lowell Field","NA","Anchor Point","-151.69599914","59.94919968"
"00AL","","Epps Airpark","NA","Harvest","-86.7703018188476","34.86479949951172"
"00AR","","Newport Hospital & Clinic Heliport","NA","Newport","-91.25489","35.6087"
"00AS","","Fulton Airport","NA","Alex","-97.818019","34.9428028"
"00AZ","","Cordes Airport","NA","Cordes","-112.1650009155273","34.305599212646484"
"00CA","","Goldstone /Gts/ Airport","NA","Barstow","-116.88800048","35.350498199499995"
"00CL","","Williams Ag Airport","NA","Biggs","-121.76342","39.427188"
"00CN","","Kitchen Creek Helibase Heliport","NA","Pine Valley","-116.459741","32.7273736"
"00CO","","Cass Field","NA","Briggsdale","-104.34400","40.622202"
"00FA","","Grass Patch Airport","NA","Bushnell","-82.2190017700195","28.64550018310547"
"00FD","","Ringhaver Heliport","NA","Riverview","-82.3453979492187","28.846599578857422"
"00FL","","River Oak Airport","NA","Okeechobee","-80.9692001342773","27.230899810791016"
"00GA","","Lt World Airport","NA","Lithonia","-84.0682983398437","33.76750183105469"
"00GE","","Caffrey Heliport","NA","Hiram","-84.7339019775390","33.88420104980469"
"00HI","","Kaupulehu Heliport","NA","Kailua-Kona","-155.98023","19.832715"
"00ID","","Delta Shores Airport","NA","Clark Fork","-116.2139968872070","48.145301818847656"
"00IG","","Goltl Airport","NA","McDonald","-101.39599","39.724028"
"00II","","Bailey Generation Station Heliport","NA","Chesterton","-87.12280273437","41.644500732421875"
"00IL","","Hammer Airport","NA","Polo","-89.560401916503","41.97840118408203"
"00IN","","St Mary Medical Center Heliport","NA","Hobart","-87.260597229003","41.51139831542969"
"00IS","","Hayenga's Cant Find Farms Airport","NA","Kings","-89.122901916503","40.02560043334961"
"00KS","","Hayden Farm Airport","NA","Gardner","-94.9304962158203","38.72779846191406"
"00KY","","Robbins Roost Airport","NA","Stanford","-84.6196975708007","37.409400939941406"
"00LA","","Shell Chemical East Site Heliport","NA","Gonzales","-90.98083","30.191944"
"00LL","","Ac & R Components Heliport","NA","Chatham","-89.7055969238281","39.66529846191406"
"00LS","","Lejeune Airport","NA","Esterwood","-92.4293975830078","30.13629913330078"
"00MD","","Slater Field","NA","Federalsburg","-75.7537994384765","38.75709915161133"
"00MI","","Dow Chemical Heliport","NA","Ludington","-86.4167022705078","43.94940185546875"
"00MN","","Battle Lake Municipal Airport","NA","Battle Lake","-95.7003021240234","46.29999923706055"
"00MO","","Cooper Flying Service Airport","NA","Alba","-94.41239929199","37.202800750732"
"00MT","","Sands Ranch Airport","NA","Havre","-109.70549","48.53721"
"00N","","Bucks Airport","NA","Bridgeton","-75.185203552246","39.473201751708984"
"00NC","","North Raleigh Airport","NA","Louisburg","-78.3713989257812","36.085201263427734"
"00NJ","","Colgate-Piscataway Heliport","NA","New Brunswick","-74.4746017456054","40.52090072631836"
"00NK","","Cliche Cove Seaplane Base","NA","Beekmantown","-73.369805","44.8118612"
"00NY","","Weiss Airfield","NA","West Bloomfield","-77.4997024536132","42.90010070800781"
"00OH","","Exit 3 Airport","NA","Wauseon","-84.14158","41.590476"
"00OI","","Miami Valley Hospital Heliport","NA","Dayton","-84.187400817871","39.74530029296875"
"00OK","","Gull Bay Landing Airport","NA","Sandsprings","-96.21769","36.198598"
